"108年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"8478","東哥遊艇","190,000","155","8,424,400","45.45","45.45","43.70","43.75","-","2.35","43.70","2","43.75","1","15.51",
"8480","泰昇-KY","11,000","10","1,545,000","139.00","142.00","139.00","140.00","+","2.00","139.50","4","140.50","2","17.41",
"8481","政伸","10,000","9","589,700","59.40","59.40","58.50","59.00","-","0.40","58.80","2","59.20","1","16.86",
"8482","商億-KY","95,000","54","13,218,000","139.00","139.50","138.50","138.50","-","1.50","138.50","3","139.00","5","15.76",
"8488","吉源-KY","8,000","8","135,850","17.20","17.20","16.90","17.00","+","0.10","17.00","1","17.05","2","25.76",
"8497","格威傳媒","24,000","21","1,236,500","51.20","51.90","51.20","51.60","+","0.50","51.40","1","51.80","1","10.53",
"8499","鼎炫-KY","77,000","67","8,085,500","105.50","105.50","104.50","105.50"," ","0.00","105.50","3","106.00","20","11.13",
"8926","台汽電","758,000","438","22,402,650","29.65","29.75","29.45","29.45","-","0.15","29.45","77","29.50","13","22.83",
"8940","新天地","3,000","3","35,300","11.80","11.80","11.70","11.70"," ","0.00","11.70","1","11.80","22","0.00",
"8996","高力","213,000","135","9,607,900","45.30","45.70","44.60","44.60","-","0.70","44.60","8","44.90","5","22.41",
"9103","美德醫療-DR","298,000","26","327,690","1.10","1.11","1.09","1.10"," ","0.00","1.10","22","1.11","70","0.00",
"910322","康師傅-DR","19,000","9","475,950","25.30","25.30","24.90","25.15","+","0.60","24.30","3","25.15","1","0.00",
"910482","聖馬丁-DR","48,000","9","11,420","0.22","0.24","0.22","0.24"," ","0.00","0.23","13","0.24","60","0.00",
"9105","泰金寶-DR","10,690,000","1,066","34,153,410","3.20","3.22","3.17","3.20"," ","0.00","3.19","343","3.20","307","0.00",
"910861","神州-DR","5,000","3","37,250","7.45","7.45","7.45","7.45","-","0.05","7.45","5","7.74","1","0.00",
"9110","越南控-DR","184,000","47","350,350","1.89","1.93","1.85","1.93","+","0.04","1.87","1","1.93","14","0.00",
"911608","明輝-DR","1,000","1","880","0.88","0.88","0.88","0.88","-","0.02","0.85","1","0.88","4","0.00",
"911616","杜康-DR","53,000","10","39,890","0.75","0.76","0.74","0.76"," ","0.00","0.74","23","0.76","9","0.00",
"911622","泰聚亨-DR","0","0","0","--","--","--","--"," ","0.00","--","0","12.80","1","0.00",
"911868","同方友友-DR","83,000","12","83,080","1.00","1.01","1.00","1.01","+","0.01","1.00","16","1.01","4","0.00",
"912000","晨訊科-DR","5,000","2","10,050","2.01","2.01","2.01","2.01","+","0.01","1.98","10","2.01","2","0.00",
"912398","友佳-DR","0","0","0","--","--","--","--"," ","0.00","3.57","2","3.91","3","0.00",
"9136","巨騰-DR","419,000","27","3,225,960","7.71","7.78","7.69","7.69","-","0.01","7.69","50","7.71","1","0.00",
"9188","精熙-DR","53,000","5","172,320","3.25","3.26","3.25","3.25","+","0.01","3.24","1","3.26","5","0.00",
"9802","鈺齊-KY","808,000","627","101,679,000","125.50","127.50","123.50","127.50","+","2.50","126.50","3","127.50","17","19.83",
"9902","台火","124,000","56","1,265,400","10.20","10.25","10.15","10.20","-","0.05","10.15","59","10.20","3","24.29",
"9904","寶成","3,339,000","1,565","130,367,100","38.95","39.20","38.85","39.20","+","0.15","39.15","52","39.20","186","8.50",
"9905","大華","47,000","38","1,127,800","24.00","24.05","23.95","23.95","+","0.05","23.95","6","24.05","5","15.76",
"9906","欣巴巴","112,000","57","2,046,200","18.25","18.40","18.15","18.25"," ","0.00","18.25","2","18.30","5","0.00",
"9907","統一實","488,000","156","5,780,300","11.85","11.90","11.80","11.85"," ","0.00","11.85","11","11.90","155","24.69",
"9908","大台北","57,000","23","1,777,500","31.25","31.25","31.15","31.15","-","0.05","31.15","63","31.25","4","19.84",
"9910","豐泰","2,248,000","1,535","423,581,000","190.00","190.50","186.50","190.50"," ","0.00","189.50","10","190.50","90","21.72",
"9911","櫻花","167,000","141","7,890,450","47.35","47.45","47.10","47.15"," ","0.00","47.10","2","47.15","13","12.71",
"9912","偉聯","9,000","8","72,430","8.03","8.05","8.03","8.05"," ","0.00","8.05","3","8.13","1","0.00",
"9914","美利達","858,000","721","142,029,000","169.50","169.50","164.00","166.50","-","2.00","166.00","2","166.50","6","20.73",
"9917","中保科","72,000","58","6,324,600","87.90","88.00","87.70","87.90","-","0.10","87.90","8","88.00","13","18.12",
"9918","欣天然","14,000","5","479,500","34.20","34.45","34.20","34.40","-","0.05","34.10","2","34.45","8","24.23",
"9919","康那香","79,000","42","820,600","10.40","10.40","10.35","10.40"," ","0.00","10.35","35","10.40","11","0.00",
"9921","巨大","980,000","739","196,812,500","200.50","202.50","199.00","202.50","+","1.50","201.50","16","202.50","19","21.38",
"9924","福興","330,000","217","14,637,700","43.75","44.80","43.75","44.35","+","0.55","44.25","1","44.40","18","9.56",
"9925","新保","97,000","65","3,608,250","37.20","37.25","37.15","37.25","+","0.05","37.25","1","37.30","13","18.53",
"9926","新海","7,000","3","292,800","41.80","41.90","41.80","41.90","-","0.05","41.90","1","42.00","4","19.95",
"9927","泰銘","579,000","238","18,880,150","32.05","33.00","31.95","32.60","+","0.60","32.60","75","32.65","20","14.42",
"9928","中視","2,000","1","9,560","4.78","4.78","4.78","4.78","-","0.16","4.81","3","4.91","1","0.00",
"9929","秋雨","8,000","7","102,900","13.05","13.05","12.80","12.80"," ","0.00","12.75","3","12.90","2","0.00",
"9930","中聯資源","76,000","61","3,797,400","49.85","50.00","49.85","50.00","-","0.10","49.95","24","50.00","5","13.97",
"9931","欣高","3,000","2","108,150","36.15","36.15","35.85","35.85","-","0.15","35.85","3","36.15","1","19.17",
"9933","中鼎","2,828,000","1,660","107,271,150","38.30","38.65","37.65","37.85","-","0.60","37.85","43","37.90","1,413","27.43",
"9934","成霖","366,000","186","6,466,050","17.65","17.75","17.55","17.70"," ","0.00","17.70","16","17.75","17","9.37",
"9935","慶豐富","1,862,000","1,097","80,525,750","43.30","44.30","42.30","43.35","+","0.05","43.30","1","43.35","1","26.76",
"9937","全國","17,000","14","725,700","42.70","42.75","42.40","42.75","+","0.05","42.70","3","42.75","1","17.96",
"9938","百和","1,093,000","797","85,755,100","78.90","79.10","77.80","78.80","+","0.30","78.50","9","78.80","4","15.24",
"9939","宏全","2,513,000","1,506","150,387,100","58.90","60.60","58.90","60.10","+","1.20","60.00","18","60.10","9","14.48",
"9940","信義","151,000","81","4,716,700","31.10","31.45","31.10","31.40","+","0.30","31.35","8","31.40","8","12.61",
"9941","裕融","572,000","349","65,438,500","115.00","115.50","114.00","114.50"," ","0.00","114.50","22","115.00","33","15.41",
"9941A","裕融甲特","5,000","5","269,400","53.90","54.00","53.80","54.00","+","0.10","53.80","28","54.00","5","0.00",
"9942","茂順","223,000","152","15,428,600","69.50","69.70","68.90","69.60","+","0.20","69.10","4","69.60","3","13.65",
"9943","好樂迪","81,000","68","5,618,000","69.30","69.50","69.20","69.30"," ","0.00","69.30","15","69.40","17","11.83",
"9944","新麗","37,000","24","642,000","17.35","17.40","17.30","17.40","+","0.05","17.35","2","17.40","13","0.00",
"9945","潤泰新","1,851,000","832","84,297,800","45.75","45.75","45.45","45.50","-","0.15","45.50","752","45.55","1","4.19",
"9946","三發地產","2,609,000","1,250","71,765,300","27.75","27.90","27.20","27.20","-","0.10","27.20","60","27.25","1","5.53",
"9955","佳龍","117,000","68","2,151,850","18.45","18.45","18.35","18.35"," ","0.00","18.35","10","18.40","7","114.69",
"9958","世紀鋼","1,180,000","753","84,453,400","72.00","72.40","71.10","71.20","-","0.60","71.20","22","71.30","2","24.64",
